Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,170,2,433
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,32,535.9
0.05,0.05,1.02,0.31,1.62,0,3.94,0,0,0.12,0,0,0,0,0,0,0,92.89,525,100,76,398
0.3,0.4,0.1,0.25,2.8,0.2,4,0,0.1,0,0,0,0,0,0,0,0,91.85,495,120,22,410
0.18,1.1,2.3,0,1.6,0,0,0,0.07,0,0,1,0,0,0,0,0,93.75,530,200,20,440
1.18,0.191,1.13,0,1.58,0.169,0,0.151,0.032,0,0,0,0,0,0,0,0,95.567,550,170,24,419
0.08,0.16,4.35,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.31,495,25,0,450
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,170,1,450
0,0,0.22,0,2.46,0,6.8,0,0,0,0,0,0,0,0,0,0,90.52,470,120,24,568.5
0.85,0.5,0.4,0.25,0.675,0,0.2,0,0.15,0,0,0,0,0,0,0,0,96.975,507.5,157.5,11.5,295
0.8,0,4.5,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,505,25,48,430
0.01,0.02,1.42,0.01,2.19,0.19,5.37,0,0.01,0,0,0,0,0,0,0,0,90.78,470,175,24,440
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,520,175,8,240
0.05,0.06,1.2,0,2.38,0,6.64,0,0.03,0,0,0,0,0,0,0,0,89.64,488,121,24,561.9
0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,93.7,525,160,14,380
0.05,0.05,1.02,0.33,1.43,0,3.56,0,0,0.12,2.12,0,0,0,0,0,0,91.32,525,160,46,502
0.1,0.2,4.2,0.91,1.4,0,0.03,0,0,0,0,0,0,0,0,0,0,93.16,540,25,300,462
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,180,48,423.6
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,48,504.5
0.01,0.01,4.3,0,0,0,0,0,0,0.14,1.18,0,0,0,0,0,0,94.36,530,25,0,389
0,0,0.19,0,2.49,0,6.72,0,0,0.16,0,0,0,0.1,0,0,0,90.34,470,120,24,629.4
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,110,24,544
0.05,0.05,2.4,0,2.6,0,8.6,0,0,0,0,0,0,0,0,0,0,86.3,455,121,24,672
0.85,1,4.45,0.8,0.05,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.35,515,170,10,400
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,180,10,489
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,180,20,511
0.04,0.05,4.01,0,0,0,0,0,0,0.16,1.24,0,0,0,0,0,0,94.5,530,160,150,515
0,0,1.22,0,0.63,0,0.92,0,0,0.1,2.57,0,0,0,0,0,0,94.56,525,25,0,369
0,0,0.19,0,2.55,0,6.98,0,0,0.29,0,0,0,0.27,0,0,0,89.72,470,120,32,632
0.04,0.07,1.23,0.1,2.41,0,6.54,0,0.02,0,0,0,0.001,0,0,0,0,89.589,488,121,24,568.1
0.62,0.33,0.28,0.06,0.9,0.17,0.02,0,0.02,0,0,0,0,0,0,0,0,97.6,530,160,18,340
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,520,25,0,172
0,0,4.17,0,0.41,0,0,0,0,0.12,1.1,0,0,0,0,0,0,94.2,500,25,0,486
0.81,0.27,4.27,0.74,0.52,0.02,0.09,0,0.02,0,0,0,0,0,0,0,0,93.26,500,170,12,425
0,0,1.07,0,1.07,0,3.4,0,0,0.1,1.8,0,0,0,0,0,0,92.56,530,170,2,419
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,44,601.8
0,0,4.6,0.35,0.35,0,0,0,2.5,0,0,0,0,0,0.7,0,0,91.5,512.5,155,20,450
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,60,606.2
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,12,579.5
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,25,0,411.7
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.2,500,160,18,440
0,0,2,0,2.8,0.23,6.8,0,0,0,0,0,0,0,0,0,0,88.17,468,121,24,605
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,150,30,475
0.04,0.05,4.22,0,0.54,0,0,0,0,0.16,1.31,0,0,0,0,0,0,93.68,530,25,0,402
0.2,0.3,6.3,0.3,0.02,0,0.1,0.1,0.06,0.175,0,0,0,0,0,0,0,92.445,535,25,0,359
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,24,555
0.9,1,4,0.2,1.5,0.1,0.25,0,0,0,0,2,0,0,0,0,0,90.05,510,170,10,406
0.02,0.06,1.55,0,2.3,0,6.3,0,0,0.14,0,0,0,0.25,0,0,0,89.38,465,120,24,588
0.8,0,4.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,94,515,170,10,400
0,0,0.22,0,2.49,0,7.11,0,0,0.4,0,0,0,0.22,0,0,0,89.56,470,120,48,653.8
0,0,4.09,0,0.7,0,0.39,0,0,0.14,0.98,0,0,0,0,0,0,93.7,500,25,0,507
0,0,2.24,0,1.95,0,7.82,0,0,0.16,0,0,0,0,0,0,0,87.83,470,120,24,654
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,180,5,470
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,90,40,555
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,90,40,555
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,180,15,506
0.01,0.08,5.64,0.33,0.23,0,0,0.09,0.11,0.15,0,0,0,0,0,0,0,93.36,530,190,3,425.7
0,0,0.22,0,2.49,0,7.11,0,0,0.4,0,0,0,0.22,0,0,0,89.56,470,120,32,667
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,177,18,457
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92,495,150,1000,488
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,170,48,478
0.8,0,4.5,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,505,177,18,509
1.35,0.25,0.275,0.7,0.85,0,0,0,0,0,0,0,0,0,0,0,0,96.575,545,160,18,379
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,190,3,455
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,16,464
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,16,281.2
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,32,584.2
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0.05,0,0,0,0,0,0,0,88.62,490,120,24,572
0,0,2.88,0,0,0,0,0,0,0.16,2.52,0,0,0,0,0,0,94.44,510,150,32,605
0.29,0.42,4.2,0.63,1.26,0,0,0,0,0,0,0,0,0,0,0,0,93.2,500,25,72,552
1.35,0.5,0.275,0.7,0.85,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,95.825,545,25,0,317
0.8,0,4.4,0.75,0.7,0,0,0,0,0,0,0,0,0,0,0,0,93.35,505,172.5,12.5,476
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,96,432
0.84,0.37,0.32,0.18,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.69,517,152,12,315
0,0,4.09,0,0.7,0,0.39,0,0,0.14,0.98,0,0,0,0,0,0,93.7,500,175,32,602
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,52,601.7
0.8,0,4.5,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,505,172.5,12.5,485
0,0,2.24,0,1.95,0,7.82,0,0,0.16,0,0,0,0,0,0,0,87.83,470,150,30,585
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,0.5,542.2
0,0,0.19,0,2.49,0,6.72,0,0,0.16,0,0,0,0.1,0,0,0,90.34,470,25,0,454.8
0.05,0.05,2.4,0,2.6,0,8.6,0,0,0,0,0.1,0,0,0,0,0,86.2,455,121,24,679
0.082,0.35,0.12,0.3,2.3,0,5.2,0,0,0.13,0,0,0,0,0,0,0,91.518,470,120,0.5,431
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,12,435
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,12,435
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,0.17,542.8
0,0,0.19,0,2.49,0,6.72,0,0,0.16,0,0,0,0.1,0,0,0,90.34,470,120,48,621.3
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,12,460
1,0.5,0.1,0.6,0.6,0,0.2,0,0.2,0,0,0,0,0,0,0,0,96.8,505,25,0,248
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,4,449
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,170,24,463
0,0,4.12,0,0.37,0,0.41,0,0,0.11,1.05,0,0,0,0,0,0,93.94,500,25,0,489
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,130,24,527.8
0.04,0.3,4.65,0.9,1.65,0,0.01,0,0,0,0,0,0,0,0,0,0,92.45,490,120,18,491
0,0,0,0,0,0,0,0,0,0.17,2.5,0,0,0,0,0,0,97.33,510,150,16,474
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0,0,0,0,0,0,0,0,88.67,480,120,24,545
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,180,6,473
0,0,1,0,0,0,0,0,0,0.17,2.5,0,0,0,0,0,0,96.33,510,150,24,563.8
0,0,0.22,0,2.49,0,7.11,0,0,0.4,0,0,0,0.22,0,0,0,89.56,470,120,24,667
0.9,0.7,4.35,0.7,0.6,0,0.3,0,0.15,0,0,0.1,0,0,0,0,0,92.2,502,155,9.5,430
0.05,0.05,0.98,0.32,1.45,0,2.88,0,0,0.11,1.81,0,0,0,0,0,0,92.35,525,160,40,458
0.4,0.7,5.5,0,0,0,0.3,0,0,0,0,0,0,0,0,0.4,0.4,92.3,525,160,14,380
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,170,4,441
0,0,4.4,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.5,495,190,12,472
0,0,0.21,0,2.6,0,6.84,0,0,0.18,0,0,0,0.37,0,0,0,89.8,470,120,32,650
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,28,599.8
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,25,0,420
0.56,0.22,0.24,0.02,1.01,0.06,0.01,0,0,0,0,0,0,0,0,0,0,97.88,530,100,48,287.7
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,20,594.4
0.25,0.35,1.55,0.2,2.45,0.16,7.7,0,0.1,0,0,0,0,0,0,0,0,87.24,480,177,9,487
0.15,0.26,1.5,0,2.4,0,5.7,0,0,0,0,0,0,0,0,0,0,89.99,480,140,12,543.9
0.2,0.5,4.1,0.6,1.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,93.2,500,100,10,528
