Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time
1.21,0.179,1.09,0,1.57,0.178,0,0.158,0.028,0,0,0,0,0,0,0,0,95.587,550,170,24
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,90,1
0,0,0.22,0,2.49,0,7.11,0,0,0.4,0,0,0,0.22,0,0,0,89.56,470,25,0
0.85,1.3,2.2,0.2,1.6,0,0.3,0,0.15,0,0,1.2,0,0,0,0,0,92.2,527.5,172.5,11
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,2
0.4,0.075,0.2,0.05,0.675,0,0,0,0,0,0,0,0,0,0,0,0,98.6,520,175,8
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,12
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0.05,0,0,0,0,0,0,0,88.62,490,120,24
0.04,0.08,1.22,0.39,2.61,0,6.76,0,0.02,0,0,0,0.001,0,0,0,0,88.879,488,121,24
1.35,0.5,0.275,0.7,0.85,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,95.825,545,160,18
0.4,0.175,0.1,0.1,0.675,0,0,0,0,0,0,0,0,0,0,0,0,98.55,520,175,8
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,16
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,16
0.082,0.35,0.12,0.3,2.3,0,5.2,0,0,0.13,0,0,0,0,0,0,0,91.518,470,120,0.5
0,0,2.03,0,0,0,0,0,0,0.17,2.53,0,0,0,0,0,0,95.27,510,150,24
0.05,0.06,1.39,0,2.6,0.11,6.97,0,0.03,0,0,0,0.002,0,0,0,0,88.788,488,121,24
0.08,0.16,0.34,0.33,1.91,0,5.39,0,0,0,0,0,0,0,0,0,0,91.79,470,25,0
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,48
0.6,0,0.28,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,97.92,530,160,18
0,0,0,0.5,2.1,0.3,4.2,0,0,0,0,0,0,0,0,0,0,92.9,530,175,7
0.55,0.47,0.28,0,0.98,0.19,0.19,0,0,0,0,0,0,0,0,0,0,97.34,530,180,6
0,0,0,0,0.6,0.4,7,0,0.15,0,0,0,0,0,0,0,0,91.85,415,180,4
0.6,0.7,0.275,0.15,1,0.195,0.25,0,0.15,0,0,0,0,0,0,0,0,96.68,530,25,0
0,0,1.1,0,0.61,0,2.08,0,0,0.12,2.38,0,0,0,0,0,0,93.71,525,25,1440
0.4,0.075,0.2,0.05,0.675,0,0,0,0,0,0,0,0,0,0,0,0,98.6,520,175,8
0,0,2.24,0,1.95,0,7.82,0,0,0.16,0,0,0,0,0,0,0,87.83,470,150,8
0.01,0.02,1.42,0.01,2.19,0.19,5.37,0,0.01,0,0,0,0,0,0,0,0,90.78,470,170,24
0.6,0.4,0.3,0.12,1.01,0.2,0.18,0,0,0,0,0,0,0,0,0,0,97.19,500,190,4
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,170,48
0,0,0.7,0,0.35,0,7.5,0,0,0,0,0,0,0,0,0,0,91.45,530,120,6
0,0,1.07,0,1.07,0,3.4,0,0,0.1,1.8,0,0,0,0,0,0,92.56,530,170,2
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,0.5
0.2,0.3,1.55,0.15,2.6,0.2,5.5,0,0,0,0,0,0,0,0,0,0,89.5,490,120,30
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,520,175,8
0.56,0.22,0.24,0.02,1.01,0.06,0.01,0,0,0,0,0,0,0,0,0,0,97.88,530,25,0
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,1
0.082,0.35,0.12,0.3,2.3,0,5.2,0,0,0.13,0,0,0,0,0,0,0,91.518,470,120,24
