Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS-real,UTS-pred,error
0,0,2.6,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,97.05,500,170,10,295,297.75,0.93%
0,0,4.5,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,495,160,16,475,479.51,0.95%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,40,614.6,608.45,1.00%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,100,24,530.8,525.44,1.01%
0.04,0.08,1.21,0.26,2.6,0,6.87,0,0.03,0,0,0,0.001,0,0,0,0,88.909,488,121,24,580.5,586.40,1.02%
0.3,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0,0,0,0,0,0,0,0,88.77,480,25,720,530,524.57,1.02%
0.5,0.5,2.6,0.25,0.45,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,95.2,500,25,0,315,311.75,1.03%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,64,543.3,548.92,1.04%
1,0.5,0.1,0.6,0.6,0,0.2,0,0.2,0,0,0,0,0,0,0,0,96.8,505,170,6,310,313.23,1.04%
0,0,4.5,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,495,25,48,472.5,477.45,1.05%
0.08,0.16,0.34,0.33,1.91,0,5.39,0,0,0,0,0,0,0,0,0,0,91.79,470,25,0,328,331.47,1.06%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,175,8,470,474.97,1.06%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,16,543.6,537.81,1.06%
0.15,0.26,1.5,0,2.4,0,5.7,0,0,0,0,0,0,0,0,0,0,89.99,480,140,96,543.2,537.41,1.07%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,1,428.2,423.37,1.13%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,230,0.5,440,435.01,1.13%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,205,2,440,435.01,1.13%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,14,584,577.35,1.14%
0.04,0.08,1.22,0.39,2.61,0,6.76,0,0.02,0,0,0,0.001,0,0,0,0,88.879,488,121,24,589.5,582.76,1.14%
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,520,175,8,241,243.80,1.16%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,48,598.3,605.27,1.16%
0.03,0.06,1.18,0,2.46,0,6.72,0,0.05,0.18,0,0,0.002,0,0,0,0,89.318,488,121,24,628.8,621.47,1.17%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,135,120,475,469.21,1.22%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,60,489.6,483.61,1.22%
0.3,0.4,4.37,0.6,1.29,0.05,0.075,0,0.009,0,0,0,0,0,0,0,0,92.906,495,190,12,500,493.69,1.26%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,16,586.8,594.26,1.27%
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,96,238.4,235.33,1.29%
0.95,0.65,2.2,0.6,0.6,0,0.3,0,0.15,0,0,0.1,0,0,0,0,0,94.45,512.2,155,9,380,384.95,1.30%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,260,0.1,420,414.51,1.31%
0,0,1.07,0,1.07,0,3.4,0,0,0.1,1.8,0,0,0,0,0,0,92.56,530,170,24,484,477.65,1.31%
0.035,0.071,0.768,0,1.58,0,7.9,0,0,0.142,0,0,0,0,0,0,0,89.504,470,120,24,571,578.55,1.32%
1,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.8,505,170,6,310,314.16,1.34%
0,0,6.3,0.3,0,0,0,0.1,0.06,0.18,0,0,0,0,0,0,0,93.06,535,175,18,455,448.86,1.35%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,24,467,473.40,1.37%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,170,2,433,426.95,1.40%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,32,535.9,528.41,1.40%
0.05,0.05,1.02,0.31,1.62,0,3.94,0,0,0.12,0,0,0,0,0,0,0,92.89,525,100,76,398,403.58,1.40%
0.3,0.4,0.1,0.25,2.8,0.2,4,0,0.1,0,0,0,0,0,0,0,0,91.85,495,120,22,410,404.06,1.45%
0.18,1.1,2.3,0,1.6,0,0,0,0.07,0,0,1,0,0,0,0,0,93.75,530,200,20,440,433.56,1.46%
1.18,0.191,1.13,0,1.58,0.169,0,0.151,0.032,0,0,0,0,0,0,0,0,95.567,550,170,24,419,425.31,1.51%
0.08,0.16,4.35,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.31,495,25,0,450,456.80,1.51%
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,170,1,450,443.06,1.54%
0,0,0.22,0,2.46,0,6.8,0,0,0,0,0,0,0,0,0,0,90.52,470,120,24,568.5,559.67,1.55%
0.85,0.5,0.4,0.25,0.675,0,0.2,0,0.15,0,0,0,0,0,0,0,0,96.975,507.5,157.5,11.5,295,299.58,1.55%
0.8,0,4.5,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,505,25,48,430,436.76,1.57%
0.01,0.02,1.42,0.01,2.19,0.19,5.37,0,0.01,0,0,0,0,0,0,0,0,90.78,470,175,24,440,433.06,1.58%
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,520,175,8,240,243.80,1.58%
0.05,0.06,1.2,0,2.38,0,6.64,0,0.03,0,0,0,0,0,0,0,0,89.64,488,121,24,561.9,570.84,1.59%
0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,93.7,525,160,14,380,373.91,1.60%
0.05,0.05,1.02,0.33,1.43,0,3.56,0,0,0.12,2.12,0,0,0,0,0,0,91.32,525,160,46,502,493.91,1.61%
0.1,0.2,4.2,0.91,1.4,0,0.03,0,0,0,0,0,0,0,0,0,0,93.16,540,25,300,462,469.55,1.63%
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,180,48,423.6,430.52,1.63%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,48,504.5,496.23,1.64%
0.01,0.01,4.3,0,0,0,0,0,0,0.14,1.18,0,0,0,0,0,0,94.36,530,25,0,389,382.53,1.66%
0,0,0.19,0,2.49,0,6.72,0,0,0.16,0,0,0,0.1,0,0,0,90.34,470,120,24,629.4,618.78,1.69%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,110,24,544,534.76,1.70%
0.05,0.05,2.4,0,2.6,0,8.6,0,0,0,0,0,0,0,0,0,0,86.3,455,121,24,672,660.34,1.74%
0.85,1,4.45,0.8,0.05,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.35,515,170,10,400,407.04,1.76%
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,180,10,489,480.35,1.77%
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,180,20,511,501.88,1.78%
0.04,0.05,4.01,0,0,0,0,0,0,0.16,1.24,0,0,0,0,0,0,94.5,530,160,150,515,524.39,1.82%
0,0,1.22,0,0.63,0,0.92,0,0,0.1,2.57,0,0,0,0,0,0,94.56,525,25,0,369,375.76,1.83%
0,0,0.19,0,2.55,0,6.98,0,0,0.29,0,0,0,0.27,0,0,0,89.72,470,120,32,632,620.09,1.88%
0.04,0.07,1.23,0.1,2.41,0,6.54,0,0.02,0,0,0,0.001,0,0,0,0,89.589,488,121,24,568.1,578.85,1.89%
0.62,0.33,0.28,0.06,0.9,0.17,0.02,0,0.02,0,0,0,0,0,0,0,0,97.6,530,160,18,340,346.45,1.90%
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,520,25,0,172,168.74,1.90%
0,0,4.17,0,0.41,0,0,0,0,0.12,1.1,0,0,0,0,0,0,94.2,500,25,0,486,476.76,1.90%
0.81,0.27,4.27,0.74,0.52,0.02,0.09,0,0.02,0,0,0,0,0,0,0,0,93.26,500,170,12,425,433.18,1.92%
0,0,1.07,0,1.07,0,3.4,0,0,0.1,1.8,0,0,0,0,0,0,92.56,530,170,2,419,410.87,1.94%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,44,601.8,589.82,1.99%
0,0,4.6,0.35,0.35,0,0,0,2.5,0,0,0,0,0,0.7,0,0,91.5,512.5,155,20,450,440.95,2.01%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,60,606.2,593.85,2.04%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,12,579.5,591.39,2.05%
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,25,0,411.7,420.16,2.06%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.2,500,160,18,440,430.90,2.07%
0,0,2,0,2.8,0.23,6.8,0,0,0,0,0,0,0,0,0,0,88.17,468,121,24,605,592.23,2.11%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,150,30,475,485.36,2.18%
0.04,0.05,4.22,0,0.54,0,0,0,0,0.16,1.31,0,0,0,0,0,0,93.68,530,25,0,402,410.79,2.19%
0.2,0.3,6.3,0.3,0.02,0,0.1,0.1,0.06,0.175,0,0,0,0,0,0,0,92.445,535,25,0,359,351.15,2.19%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,24,555,542.81,2.20%
0.9,1,4,0.2,1.5,0.1,0.25,0,0,0,0,2,0,0,0,0,0,90.05,510,170,10,406,396.92,2.24%
0.02,0.06,1.55,0,2.3,0,6.3,0,0,0.14,0,0,0,0.25,0,0,0,89.38,465,120,24,588,601.24,2.25%
0.8,0,4.4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,94,515,170,10,400,409.22,2.30%
0,0,0.22,0,2.49,0,7.11,0,0,0.4,0,0,0,0.22,0,0,0,89.56,470,120,48,653.8,638.67,2.31%
0,0,4.09,0,0.7,0,0.39,0,0,0.14,0.98,0,0,0,0,0,0,93.7,500,25,0,507,495.18,2.33%
0,0,2.24,0,1.95,0,7.82,0,0,0.16,0,0,0,0,0,0,0,87.83,470,120,24,654,638.75,2.33%
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,180,5,470,458.91,2.36%
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,90,40,555,541.89,2.36%
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,90,40,555,541.89,2.36%
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,180,15,506,493.93,2.39%
0.01,0.08,5.64,0.33,0.23,0,0,0.09,0.11,0.15,0,0,0,0,0,0,0,93.36,530,190,3,425.7,415.33,2.44%
0,0,0.22,0,2.49,0,7.11,0,0,0.4,0,0,0,0.22,0,0,0,89.56,470,120,32,667,650.74,2.44%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,177,18,457,468.15,2.44%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92,495,150,1000,488,476.04,2.45%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,170,48,478,466.25,2.46%
0.8,0,4.5,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,505,177,18,509,496.44,2.47%
1.35,0.25,0.275,0.7,0.85,0,0,0,0,0,0,0,0,0,0,0,0,96.575,545,160,18,379,369.57,2.49%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,190,3,455,466.34,2.49%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,16,464,475.70,2.52%
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,16,281.2,274.11,2.52%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,32,584.2,598.95,2.52%
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0.05,0,0,0,0,0,0,0,88.62,490,120,24,572,557.50,2.53%
0,0,2.88,0,0,0,0,0,0,0.16,2.52,0,0,0,0,0,0,94.44,510,150,32,605,589.62,2.54%
0.29,0.42,4.2,0.63,1.26,0,0,0,0,0,0,0,0,0,0,0,0,93.2,500,25,72,552,537.94,2.55%
1.35,0.5,0.275,0.7,0.85,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,95.825,545,25,0,317,325.14,2.57%
0.8,0,4.4,0.75,0.7,0,0,0,0,0,0,0,0,0,0,0,0,93.35,505,172.5,12.5,476,463.67,2.59%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,96,432,443.20,2.59%
0.84,0.37,0.32,0.18,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.69,517,152,12,315,306.81,2.60%
0,0,4.09,0,0.7,0,0.39,0,0,0.14,0.98,0,0,0,0,0,0,93.7,500,175,32,602,586.35,2.60%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,52,601.7,585.89,2.63%
0.8,0,4.5,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,505,172.5,12.5,485,472.21,2.64%
0,0,2.24,0,1.95,0,7.82,0,0,0.16,0,0,0,0,0,0,0,87.83,470,150,30,585,600.62,2.67%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,0.5,542.2,527.69,2.68%
0,0,0.19,0,2.49,0,6.72,0,0,0.16,0,0,0,0.1,0,0,0,90.34,470,25,0,454.8,467.17,2.72%
0.05,0.05,2.4,0,2.6,0,8.6,0,0,0,0,0.1,0,0,0,0,0,86.2,455,121,24,679,660.34,2.75%
0.082,0.35,0.12,0.3,2.3,0,5.2,0,0,0.13,0,0,0,0,0,0,0,91.518,470,120,0.5,431,419.10,2.76%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,12,435,447.02,2.76%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,12,435,447.02,2.76%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,0.17,542.8,527.69,2.78%
