Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.01,0.05,2.55,0.02,2.59,0.19,7.44,0.13,0.01,0.17,0.00,0.69,0.00,0.23,0.54,0.26,0.29,84.83,485,107,28.8,701.77
0.01,0.03,1.62,0.02,2.66,0.19,7.45,0.13,0.27,0.17,0.00,0.63,0.00,0.11,0.54,0.20,0.26,85.71,430,107,27.8,701.67
0.01,0.04,2.52,0.05,2.72,0.19,7.66,0.12,0.01,0.16,0.00,0.50,0.00,0.22,0.55,0.26,0.24,84.75,453,106,28.9,701.66
0.01,0.06,2.50,0.02,2.59,0.19,7.30,0.13,0.01,0.17,0.00,0.58,0.00,0.23,0.60,0.20,0.29,85.14,468,107,30.8,701.29
0.01,0.05,2.52,0.02,2.59,0.20,7.68,0.11,0.01,0.15,0.00,0.55,0.00,0.22,0.68,0.21,0.23,84.77,469,107,28.1,701.15
0.00,0.05,2.53,0.02,2.65,0.19,7.40,0.15,0.14,0.17,0.00,0.60,0.00,0.22,0.53,0.20,0.27,84.88,452,107,28.1,701.12
0.01,0.00,2.48,0.02,2.60,0.16,7.45,0.14,0.00,0.17,0.00,0.63,0.00,0.22,0.56,0.20,0.27,85.09,450,107,27.9,701.10
0.00,0.00,2.36,0.02,2.59,0.19,7.57,0.11,0.00,0.17,0.00,0.65,0.00,0.21,0.55,0.23,0.28,85.07,462,107,26.1,701.09
0.01,0.01,1.77,0.00,2.59,0.20,7.13,0.12,0.01,0.16,0.00,0.76,0.00,0.23,0.56,0.26,0.33,85.84,461,107,26.4,700.72
0.00,0.05,2.12,0.13,2.59,0.19,8.06,0.11,0.01,0.17,0.00,0.76,0.00,0.19,0.66,0.23,0.30,84.42,464,107,27.2,699.80
0.01,0.05,2.48,0.08,2.60,0.18,7.42,0.14,0.01,0.17,0.00,0.41,0.00,0.23,0.55,0.20,0.25,85.23,469,107,28.5,699.38
0.01,0.04,2.56,0.02,2.34,0.19,7.63,0.13,0.00,0.17,0.00,0.75,0.00,0.22,0.56,0.21,0.27,84.92,440,108,27.4,699.19
0.01,0.04,1.39,0.02,2.70,0.19,7.87,0.11,0.01,0.16,0.00,0.71,0.00,0.20,0.63,0.33,0.27,85.34,463,107,27.7,699.04
0.01,0.04,1.81,0.02,2.61,0.19,7.67,0.12,0.00,0.16,0.00,0.86,0.00,0.23,0.38,0.42,0.28,85.21,462,128,38.6,698.79
0.01,0.02,2.58,0.00,2.47,0.19,7.65,0.11,0.17,0.15,0.00,0.75,0.00,0.22,0.64,0.29,0.28,84.46,461,107,26.5,698.65
0.01,0.06,2.56,0.00,2.59,0.19,7.60,0.10,0.01,0.17,0.00,0.65,0.00,0.23,0.55,0.22,0.25,84.80,463,107,27.4,698.54
0.01,0.05,2.56,0.01,2.69,0.19,7.71,0.11,0.12,0.17,0.00,0.67,0.00,0.22,0.57,0.21,0.22,84.48,467,108,28.6,698.43
0.01,0.05,2.16,0.12,2.65,0.19,8.00,0.11,0.01,0.17,0.00,0.75,0.00,0.23,0.59,0.19,0.30,84.48,462,111,27.3,698.39
0.01,0.05,2.56,0.02,2.59,0.20,7.62,0.12,0.00,0.17,0.00,0.76,0.00,0.22,0.57,0.21,0.35,84.55,461,107,25.7,698.34
0.01,0.04,2.55,0.00,2.60,0.16,7.59,0.12,0.01,0.17,0.00,0.39,0.00,0.22,0.55,0.20,0.28,85.10,427,110,26.1,698.31
0.01,0.05,2.49,0.16,2.65,0.19,6.73,0.13,0.36,0.17,0.00,0.83,0.00,0.23,0.64,0.14,0.27,84.97,468,107,28.2,698.28
0.01,0.00,2.53,0.02,2.59,0.19,7.30,0.10,0.01,0.19,0.00,0.60,0.00,0.29,0.48,0.20,0.30,85.18,468,107,27.8,696.93
0.01,0.04,2.54,0.02,2.45,0.15,7.63,0.13,0.01,0.17,0.00,0.66,0.00,0.23,0.54,0.11,0.22,85.09,460,107,25.9,696.93
0.01,0.05,2.63,0.02,2.59,0.19,7.94,0.12,0.07,0.17,0.00,0.60,0.00,0.24,0.52,0.20,0.28,84.38,468,107,28.6,696.91
0.01,0.05,2.54,0.02,2.20,0.19,7.41,0.14,0.01,0.17,0.00,0.53,0.00,0.23,0.55,0.15,0.25,85.55,465,104,27.4,696.64
0.00,0.06,2.49,0.05,2.59,0.19,7.14,0.14,0.11,0.17,0.00,0.55,0.00,0.26,0.55,0.18,0.31,85.20,451,107,26.5,696.52
0.01,0.05,2.91,0.02,3.00,0.19,7.27,0.13,0.01,0.17,0.00,0.63,0.00,0.27,0.58,0.20,0.26,84.32,468,107,28.5,696.17
0.00,0.00,2.45,0.03,2.59,0.19,7.27,0.13,0.00,0.17,0.00,0.50,0.00,0.24,0.54,0.19,0.27,85.42,460,107,22.6,696.14
0.01,0.04,2.47,0.02,2.79,0.19,7.79,0.11,0.00,0.13,0.00,0.69,0.00,0.22,0.49,0.25,0.28,84.50,435,107,26.1,696.09
0.00,0.04,3.57,0.07,2.88,0.19,7.17,0.13,0.00,0.17,0.00,0.67,0.00,0.23,0.54,0.20,0.32,83.81,450,106,29.1,695.75
0.01,0.04,2.46,0.02,2.59,0.21,7.80,0.11,0.00,0.17,0.00,0.67,0.00,0.22,0.48,0.24,0.28,84.69,432,107,26.2,695.12
0.01,0.05,2.55,0.02,2.59,0.19,7.57,0.16,0.03,0.17,0.00,0.67,0.00,0.23,0.53,0.23,0.30,84.73,466,107,20.1,695.05
0.01,0.04,2.68,0.07,2.59,0.19,7.28,0.15,0.08,0.17,0.00,0.46,0.00,0.23,0.53,0.20,0.26,85.06,467,107,27.4,695.04
0.01,0.04,2.59,0.00,2.72,0.19,6.92,0.13,0.15,0.15,0.00,0.35,0.00,0.22,0.55,0.20,0.26,85.53,400,115,25.8,694.64
0.01,0.04,2.59,0.00,2.80,0.19,6.92,0.13,0.15,0.15,0.00,0.35,0.00,0.22,0.55,0.20,0.19,85.52,427,115,25.8,694.64
0.00,0.05,2.56,0.01,2.61,0.19,7.60,0.12,0.01,0.17,0.00,0.85,0.00,0.27,0.55,0.19,0.18,84.65,459,107,26.6,694.60
0.01,0.04,2.54,0.03,2.26,0.19,7.47,0.14,0.00,0.17,0.00,0.49,0.00,0.22,0.54,0.19,0.20,85.51,474,107,29.6,694.52
0.01,0.00,2.60,0.02,2.60,0.15,7.73,0.09,0.01,0.16,0.00,0.67,0.00,0.22,0.56,0.21,0.27,84.70,442,107,25.6,694.27
0.01,0.02,2.53,0.05,2.59,0.19,7.28,0.14,0.01,0.17,0.00,0.68,0.00,0.32,0.52,0.20,0.29,85.00,469,107,20.2,693.68
0.01,0.00,2.57,0.00,2.59,0.24,6.96,0.12,0.01,0.16,0.00,0.73,0.00,0.23,0.52,0.27,0.35,85.23,461,108,26.0,693.62
0.01,0.00,2.55,0.08,2.61,0.18,7.47,0.16,0.01,0.17,0.00,0.45,0.00,0.18,0.52,0.19,0.20,85.22,457,106,29.3,693.15
0.01,0.15,2.53,0.01,3.16,0.19,7.27,0.12,0.01,0.15,0.00,0.60,0.00,0.20,0.55,0.23,0.22,84.58,463,107,28.7,693.05
0.00,0.03,2.11,0.05,2.60,0.19,7.32,0.14,0.01,0.17,0.00,0.46,0.00,0.23,0.54,0.20,0.26,85.67,466,126,28.3,692.97
0.01,0.04,2.75,0.02,2.70,0.19,6.38,0.11,0.01,0.17,0.00,0.68,0.00,0.22,0.55,0.22,0.27,85.66,461,107,25.0,692.96
0.01,0.12,2.56,0.00,2.59,0.19,7.64,0.11,0.19,0.17,0.00,0.66,0.00,0.22,0.56,0.21,0.26,84.49,460,107,27.4,692.53
0.00,0.04,2.56,0.00,2.59,0.19,7.73,0.12,0.00,0.17,0.00,0.86,0.00,0.22,0.60,0.21,0.27,84.43,494,107,26.4,691.60
0.01,0.11,2.52,0.03,3.02,0.19,7.27,0.14,0.01,0.22,0.00,0.62,0.00,0.23,0.52,0.34,0.30,84.47,468,107,28.7,690.97
